region;casos_nuevos;casos_totales;casos_recuperados;casos_fallecidos;fecha
Arica y Parinacota;0;0;NA;0;2020-03-07
Tarapacá;0;0;NA;0;2020-03-07
Antofagasta;0;0;NA;0;2020-03-07
Atacama;0;0;NA;0;2020-03-07
Coquimbo;0;0;NA;0;2020-03-07
Valparaíso;0;0;NA;0;2020-03-07
Metropolitana;1;4;NA;0;2020-03-07
O’Higgins;0;0;NA;0;2020-03-07
Maule;0;2;NA;0;2020-03-07
Ñuble;0;0;NA;0;2020-03-07
Biobío;0;0;NA;0;2020-03-07
Araucanía;0;0;NA;0;2020-03-07
Los Ríos;0;0;NA;0;2020-03-07
Los Lagos;1;1;NA;0;2020-03-07
Aysén;0;0;NA;0;2020-03-07
Magallanes;0;0;NA;0;2020-03-07
Total;2;7; 0;0;2020-03-07
