region;casos_nuevos;casos_totales;fecha
Arica y Parinacota;  0;  1;2020-03-19
Tarapacá;  0;  0;2020-03-19
Antofagasta;  0;  2;2020-03-19
Atacama;  0;  1;2020-03-19
Coquimbo;  2;  2;2020-03-19
Valparaíso;  3;  4;2020-03-19
Metropolitana; 73;247;2020-03-19
O’Higgins;  2;  2;2020-03-19
Maule;  3; 14;2020-03-19
Ñuble;  2; 28;2020-03-19
Biobío;  7; 14;2020-03-19
Araucanía;  3;  7;2020-03-19
Los Ríos;  0;  1;2020-03-19
Los Lagos;  8; 16;2020-03-19
Aysén;  0;  1;2020-03-19
Magallanes;  0;  2;2020-03-19
Total;103;342;2020-03-19
